token_standard,token_id,total_supply,first_trade_date,raw_full_turnover_reached_date,raw_calendar_days_to_full_turnover,raw_trading_days_to_full_turnover,adjusted_full_turnover_reached_date,adjusted_calendar_days_to_full_turnover,adjusted_trading_days_to_full_turnover
erc1155,3,165356,2024-12-20,2024-12-25,6,6,2025-05-05,137,124
erc1155,4,238409,2024-12-20,2024-12-25,6,6,2025-03-17,88,84
erc1155,5,38010,2024-12-20,2024-12-25,6,6,2025-12-30,376,358
erc1155,6,445200,2024-12-20,2024-12-25,6,6,2025-06-03,166,150
erc1155,7,33663,2024-12-20,2024-12-25,6,6,2025-08-28,252,237
erc1155,8,26775,2024-12-20,2024-12-25,6,6,2025-12-13,359,325
erc1155,9,308553,2024-12-20,2024-12-25,6,6,2025-05-25,157,143
erc1155,10,33075,2024-12-20,2024-12-25,6,6,2025-08-15,239,218
erc1155,11,692451,2024-12-20,2024-12-25,6,6,2025-10-10,295,281
erc1155,12,444140,2024-12-20,2024-12-25,6,6,2025-03-09,80,78
erc1155,13,648943,2024-12-20,2024-12-25,6,6,2025-05-12,144,132
erc1155,14,31500,2024-12-20,2024-12-25,6,6,2025-04-12,114,108
erc1155,16,626260,2024-12-20,2024-12-25,6,6,2025-05-29,161,147
erc1155,17,522584,2024-12-20,2024-12-25,6,6,2025-04-24,126,121
erc1155,18,706912,2024-12-20,2024-12-25,6,6,2025-02-23,66,66
erc1155,19,445200,2024-12-20,2024-12-25,6,6,2025-06-19,182,165
erc1155,20,619080,2024-12-20,2024-12-25,6,6,2025-03-16,87,85
erc1155,22,641539,2024-12-20,2024-12-25,6,6,2025-03-10,81,79
erc1155,23,741286,2024-12-20,2024-12-25,6,6,2025-04-18,120,115
erc1155,24,32550,2025-03-05,2025-03-05,1,1,2025-03-13,9,9
erc1155,25,1213275,2024-12-23,2025-01-22,31,29,2025-02-18,58,56
erc1155,27,1435061,2025-03-27,2025-04-17,22,19,2025-05-27,62,50
erc1155,28,29400,2025-06-16,2025-06-16,1,1,2025-07-26,41,35
erc1155,29,1432200,2025-07-25,2025-08-16,23,23,2025-10-19,87,87
erc1155,30,30975,2025-10-03,2025-10-05,3,3,2025-10-20,18,18
erc1155,31,29400,2025-10-17,2025-10-20,4,4,,,
erc1155,32,1474515,2025-11-07,2026-04-02,147,122,2026-06-19,225,200
