token_standard,token_id,post_launch_start_date,post_launch_sell,post_launch_buy,post_launch_volume,total_supply,post_launch_turnover,post_launch_turnover_percent
erc1155,25,2024-12-23,3910928,5124203,9035131,1213275,7.44689456,744.6895
erc1155,24,2025-03-05,98144,130694,228838,32550,7.03035330,703.0353
erc1155,27,2025-03-27,4224551,5648485,9873036,1435061,6.87987201,687.9872
erc1155,18,2024-12-25,2253168,2223276,4476444,706912,6.33239215,633.2392
erc1155,17,2024-12-23,1445919,1663882,3109801,522584,5.95081556,595.0816
erc1155,3,2024-12-25,485545,486054,971599,165356,5.87580130,587.5801
erc1155,4,2024-12-25,665509,665558,1331067,238409,5.58312396,558.3124
erc1155,20,2024-12-25,1627337,1610325,3237662,619080,5.22979583,522.9796
erc1155,22,2024-12-25,1640905,1647116,3288021,641539,5.12520829,512.5208
erc1155,12,2024-12-25,1132882,1133397,2266279,444140,5.10262305,510.2623
erc1155,9,2024-12-25,711293,702979,1414272,308553,4.58356263,458.3563
erc1155,28,2025-06-16,50620,80020,130640,29400,4.44353741,444.3537
erc1155,23,2024-12-25,1549096,1551694,3100790,741286,4.18298740,418.2987
erc1155,13,2024-12-22,1105191,1532672,2637863,648943,4.06486086,406.4861
erc1155,6,2024-12-25,868705,868718,1737423,445200,3.90256739,390.2567
erc1155,29,2025-07-25,1893769,3325969,5219738,1432200,3.64455942,364.4559
erc1155,30,2025-10-03,35456,66431,101887,30975,3.28933010,328.9330
erc1155,19,2024-12-25,697207,697359,1394566,445200,3.13244834,313.2448
erc1155,16,2024-12-25,901997,903237,1805234,626260,2.88256315,288.2563
erc1155,14,2024-12-25,39304,39645,78949,31500,2.50631746,250.6317
erc1155,10,2024-12-25,36437,36676,73113,33075,2.21052154,221.0522
erc1155,11,2024-12-22,566224,933422,1499646,692451,2.16570703,216.5707
erc1155,32,2025-11-07,848735,2181072,3029807,1474515,2.05478208,205.4782
erc1155,7,2024-12-23,29858,38609,68467,33663,2.03389478,203.3895
erc1155,31,2025-10-17,14520,43920,58440,29400,1.98775510,198.7755
erc1155,8,2024-12-25,18741,18843,37584,26775,1.40369748,140.3697
erc1155,5,2024-12-25,24775,24951,49726,38010,1.30823468,130.8235
