token_standard,token_id,total_minted,total_burned,total_supply
erc1155,3,165356,0,165356
erc1155,4,238409,0,238409
erc1155,5,38010,0,38010
erc1155,6,445200,0,445200
erc1155,7,33663,0,33663
erc1155,8,26775,0,26775
erc1155,9,308553,0,308553
erc1155,10,33075,0,33075
erc1155,11,692451,0,692451
erc1155,12,444140,0,444140
erc1155,13,648943,0,648943
erc1155,14,31500,0,31500
erc1155,16,626260,0,626260
erc1155,17,522584,0,522584
erc1155,18,706912,0,706912
erc1155,19,445200,0,445200
erc1155,20,619080,0,619080
erc1155,22,641539,0,641539
erc1155,23,741286,0,741286
erc1155,24,32550,0,32550
erc1155,25,1213275,0,1213275
erc1155,27,1435061,0,1435061
erc1155,28,29400,0,29400
erc1155,29,1474515,42315,1432200
erc1155,30,30975,0,30975
erc1155,31,29400,0,29400
erc1155,32,1474515,0,1474515
