period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent,average_day_turnover_rate,average_day_turnover_rate_percent,average_month_turnover_rate,average_month_turnover_rate_percent,average_year_turnover_rate,average_year_turnover_rate_percent
all,erc1155,3,485545,650891,1136436,165356,6.87266262,687.2663,5.87266262,587.2663,0.01321666,1.3217,0.36171909,36.1719,2.29088754,229.0888
all,erc1155,4,665509,903918,1569427,238409,6.58291843,658.2918,5.58291843,558.2918,0.01265946,1.2659,0.34646939,34.6469,2.19430614,219.4306
all,erc1155,5,24775,62785,87560,38010,2.30360431,230.3604,1.30360431,130.3604,0.00453465,0.4535,0.12124233,12.1242,0.76786810,76.7868
all,erc1155,6,868705,1313905,2182610,445200,4.90253819,490.2538,3.90253819,390.2538,0.00948267,0.9483,0.25802833,25.8028,1.63417940,163.4179
all,erc1155,7,29858,63521,93379,33663,2.77393578,277.3936,1.77393578,177.3936,0.00547127,0.5471,0.14599662,14.5997,0.92464526,92.4645
all,erc1155,8,18741,45506,64247,26775,2.39951447,239.9514,1.39951447,139.9514,0.00501990,0.5020,0.12629024,12.6290,0.79983816,79.9838
all,erc1155,9,711293,1011011,1722304,308553,5.58187410,558.1874,4.58187410,458.1874,0.01069325,1.0693,0.29378285,29.3783,1.86062470,186.0625
all,erc1155,10,36437,69512,105949,33075,3.20329554,320.3296,2.20329554,220.3296,0.00648440,0.6484,0.16859450,16.8595,1.06776518,106.7765
all,erc1155,11,566224,1258675,1824899,692451,2.63541969,263.5420,1.63541969,163.5420,0.00509752,0.5098,0.13870630,13.8706,0.87847323,87.8473
all,erc1155,12,1132882,1577022,2709904,444140,6.10146350,610.1464,5.10146350,510.1464,0.01166628,1.1666,0.32112966,32.1130,2.03382117,203.3821
all,erc1155,13,1105191,1754134,2859325,648943,4.40612658,440.6127,3.40612658,340.6127,0.00842472,0.8425,0.23190140,23.1901,1.46870886,146.8709
all,erc1155,14,39304,70804,110108,31500,3.49549206,349.5492,2.49549206,249.5492,0.00737446,0.7374,0.18397327,18.3973,1.16516402,116.5164
all,erc1155,16,901997,1528257,2430254,626260,3.88058314,388.0583,2.88058314,288.0583,0.00747704,0.7477,0.20424122,20.4241,1.29352771,129.3528
all,erc1155,17,1445919,1914375,3360294,522584,6.43015094,643.0151,5.43015094,543.0151,0.01229474,1.2295,0.33842900,33.8429,2.14338365,214.3384
all,erc1155,18,2253168,2924331,5177499,706912,7.32410682,732.4107,6.32410682,632.4107,0.01400403,1.4004,0.38547931,38.5479,2.44136894,244.1369
all,erc1155,19,697207,1142407,1839614,445200,4.13210692,413.2107,3.13210692,313.2107,0.00800796,0.8008,0.21747931,21.7479,1.37736897,137.7369
all,erc1155,20,1627337,2227347,3854684,619080,6.22647154,622.6472,5.22647154,522.6472,0.01192811,1.1928,0.32770903,32.7709,2.07549051,207.5491
all,erc1155,22,1640905,2282444,3923349,641539,6.11552688,611.5527,5.11552688,511.5527,0.01169317,1.1693,0.32186984,32.1870,2.03850896,203.8509
all,erc1155,23,1549096,2282589,3831685,741286,5.16896987,516.8970,4.16896987,416.8970,0.00988331,0.9883,0.27205105,27.2051,1.72298996,172.2990
all,erc1155,24,98144,130694,228838,32550,7.03035330,703.0353,6.03035330,603.0353,0.01761993,1.7620,0.43939708,43.9397,3.51517665,351.5177
all,erc1155,25,3910928,5124203,9035131,1213275,7.44689456,744.6895,6.44689456,644.6895,0.01437624,1.4376,0.39194182,39.1942,2.48229819,248.2298
all,erc1155,27,4224551,5648485,9873036,1435061,6.87987201,687.9872,5.87987201,587.9872,0.01607447,1.6074,0.42999200,42.9992,3.43993600,343.9936
all,erc1155,28,50620,80020,130640,29400,4.44353741,444.3537,3.44353741,344.3537,0.01639682,1.6397,0.34181057,34.1811,2.22176871,222.1769
all,erc1155,29,1893769,3325969,5219738,1432200,3.64455942,364.4559,2.64455942,264.4559,0.01149703,1.1497,0.30371328,30.3713,1.82227971,182.2280
all,erc1155,30,35456,66431,101887,30975,3.28933010,328.9330,2.28933010,228.9330,0.01620360,1.6204,0.36548112,36.5481,1.64466505,164.4665
all,erc1155,31,14520,43920,58440,29400,1.98775510,198.7755,0.98775510,98.7755,0.01399828,1.3998,0.22086168,22.0862,0.99387755,99.3878
all,erc1155,32,848735,2181072,3029807,1474515,2.05478208,205.4782,1.05478208,105.4782,0.01007246,1.0072,0.25684776,25.6848,1.02739104,102.7391
