period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024-12-20,erc1155,10,0,325,325,33075,0.00982615,0.9826,-0.99017385,-99.0174
2024-12-20,erc1155,11,0,135744,135744,692451,0.19603409,19.6034,-0.80396591,-80.3966
2024-12-20,erc1155,12,0,68906,68906,444140,0.15514477,15.5145,-0.84485523,-84.4855
2024-12-20,erc1155,13,0,122404,122404,648943,0.18862057,18.8621,-0.81137943,-81.1379
2024-12-20,erc1155,14,0,1804,1804,31500,0.05726984,5.7270,-0.94273016,-94.2730
2024-12-20,erc1155,16,0,95424,95424,626260,0.15237122,15.2371,-0.84762878,-84.7629
2024-12-20,erc1155,17,0,16139,16139,522584,0.03088307,3.0883,-0.96911693,-96.9117
2024-12-20,erc1155,18,0,23722,23722,706912,0.03355722,3.3557,-0.96644278,-96.6443
2024-12-20,erc1155,19,0,14722,14722,445200,0.03306828,3.3068,-0.96693172,-96.6932
2024-12-20,erc1155,20,0,30857,30857,619080,0.04984332,4.9843,-0.95015668,-95.0157
2024-12-20,erc1155,22,0,35891,35891,641539,0.05594516,5.5945,-0.94405484,-94.4055
2024-12-20,erc1155,23,0,171998,171998,741286,0.23202651,23.2027,-0.76797349,-76.7973
2024-12-20,erc1155,3,0,107106,107106,165356,0.64772975,64.7730,-0.35227025,-35.2270
2024-12-20,erc1155,4,0,222542,222542,238409,0.93344630,93.3446,-0.06655370,-6.6554
2024-12-20,erc1155,5,0,6822,6822,38010,0.17947908,17.9479,-0.82052092,-82.0521
2024-12-20,erc1155,6,0,307062,307062,445200,0.68971698,68.9717,-0.31028302,-31.0283
2024-12-20,erc1155,7,0,514,514,33663,0.01526899,1.5269,-0.98473101,-98.4731
2024-12-20,erc1155,8,0,934,934,26775,0.03488329,3.4883,-0.96511671,-96.5117
2024-12-20,erc1155,9,0,57292,57292,308553,0.18567961,18.5680,-0.81432039,-81.4320
2024-12-21,erc1155,10,0,3927,3927,33075,0.11873016,11.8730,-0.88126984,-88.1270
2024-12-21,erc1155,11,0,189509,189509,692451,0.27367857,27.3679,-0.72632143,-72.6321
2024-12-21,erc1155,12,0,92655,92655,444140,0.20861665,20.8617,-0.79138335,-79.1383
