period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024-12,erc1155,10,885,33960,34845,33075,1.05351474,105.3515,0.05351474,5.3515
2024-12,erc1155,11,18871,711322,730193,692451,1.05450494,105.4505,0.05450494,5.4505
2024-12,erc1155,12,33761,474771,508532,444140,1.14498131,114.4981,0.14498131,14.4981
2024-12,erc1155,13,28030,676973,705003,648943,1.08638663,108.6387,0.08638663,8.6387
2024-12,erc1155,14,2991,34491,37482,31500,1.18990476,118.9905,0.18990476,18.9905
2024-12,erc1155,16,27019,653279,680298,626260,1.08628685,108.6287,0.08628685,8.6287
2024-12,erc1155,17,26792,549245,576037,522584,1.10228595,110.2286,0.10228595,10.2286
2024-12,erc1155,18,59970,766461,826431,706912,1.16907196,116.9072,0.16907196,16.9072
2024-12,erc1155,19,8878,454078,462956,445200,1.03988320,103.9883,0.03988320,3.9883
2024-12,erc1155,20,55884,674304,730188,619080,1.17947277,117.9473,0.17947277,17.9473
2024-12,erc1155,22,44313,684887,729200,641539,1.13664173,113.6642,0.13664173,13.6642
2024-12,erc1155,23,60511,801441,861952,741286,1.16277928,116.2779,0.16277928,16.2779
2024-12,erc1155,25,48673,419660,468333,1213275,0.38600729,38.6007,-0.61399271,-61.3993
2024-12,erc1155,3,3733,169089,172822,165356,1.04515107,104.5151,0.04515107,4.5151
2024-12,erc1155,4,27539,265948,293487,238409,1.23102316,123.1023,0.23102316,23.1023
2024-12,erc1155,5,814,38824,39638,38010,1.04283083,104.2831,0.04283083,4.2831
2024-12,erc1155,6,22702,467902,490604,445200,1.10198562,110.1986,0.10198562,10.1986
2024-12,erc1155,7,602,34265,34867,33663,1.03576627,103.5766,0.03576627,3.5766
2024-12,erc1155,8,334,27109,27443,26775,1.02494865,102.4949,0.02494865,2.4949
2024-12,erc1155,9,12562,320556,333118,308553,1.07961355,107.9614,0.07961355,7.9614
2025-01,erc1155,10,2889,2889,5778,33075,0.17469388,17.4694,-0.82530612,-82.5306
2025-01,erc1155,11,48237,48237,96474,692451,0.13932249,13.9322,-0.86067751,-86.0678
2025-01,erc1155,12,106485,109476,215961,444140,0.48624533,48.6245,-0.51375467,-51.3755
2025-01,erc1155,13,106517,99561,206078,648943,0.31755948,31.7559,-0.68244052,-68.2441
