period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024,erc1155,10,885,33960,34845,33075,1.05351474,105.3515,0.05351474,5.3515
2024,erc1155,11,18871,711322,730193,692451,1.05450494,105.4505,0.05450494,5.4505
2024,erc1155,12,33761,474771,508532,444140,1.14498131,114.4981,0.14498131,14.4981
2024,erc1155,13,28030,676973,705003,648943,1.08638663,108.6387,0.08638663,8.6387
2024,erc1155,14,2991,34491,37482,31500,1.18990476,118.9905,0.18990476,18.9905
2024,erc1155,16,27019,653279,680298,626260,1.08628685,108.6287,0.08628685,8.6287
2024,erc1155,17,26792,549245,576037,522584,1.10228595,110.2286,0.10228595,10.2286
2024,erc1155,18,59970,766461,826431,706912,1.16907196,116.9072,0.16907196,16.9072
2024,erc1155,19,8878,454078,462956,445200,1.03988320,103.9883,0.03988320,3.9883
2024,erc1155,20,55884,674304,730188,619080,1.17947277,117.9473,0.17947277,17.9473
2024,erc1155,22,44313,684887,729200,641539,1.13664173,113.6642,0.13664173,13.6642
2024,erc1155,23,60511,801441,861952,741286,1.16277928,116.2779,0.16277928,16.2779
2024,erc1155,25,48673,419660,468333,1213275,0.38600729,38.6007,-0.61399271,-61.3993
2024,erc1155,3,3733,169089,172822,165356,1.04515107,104.5151,0.04515107,4.5151
2024,erc1155,4,27539,265948,293487,238409,1.23102316,123.1023,0.23102316,23.1023
2024,erc1155,5,814,38824,39638,38010,1.04283083,104.2831,0.04283083,4.2831
2024,erc1155,6,22702,467902,490604,445200,1.10198562,110.1986,0.10198562,10.1986
2024,erc1155,7,602,34265,34867,33663,1.03576627,103.5766,0.03576627,3.5766
2024,erc1155,8,334,27109,27443,26775,1.02494865,102.4949,0.02494865,2.4949
2024,erc1155,9,12562,320556,333118,308553,1.07961355,107.9614,0.07961355,7.9614
2025,erc1155,10,27774,27774,55548,33075,1.67945578,167.9456,0.67945578,67.9456
2025,erc1155,11,433070,433070,866140,692451,1.25083219,125.0832,0.25083219,25.0832
2025,erc1155,12,896131,897452,1793583,444140,4.03832800,403.8328,3.03832800,303.8328
2025,erc1155,13,765916,762009,1527925,648943,2.35448260,235.4483,1.35448260,135.4483
2025,erc1155,14,32009,32009,64018,31500,2.03231746,203.2317,1.03231746,103.2317
2025,erc1155,16,688599,688599,1377198,626260,2.19908345,219.9083,1.19908345,119.9083
2025,erc1155,17,981148,964887,1946035,522584,3.72387023,372.3870,2.72387023,272.3870
2025,erc1155,18,1558631,1533454,3092085,706912,4.37407343,437.4073,3.37407343,337.4073
2025,erc1155,19,518009,518009,1036018,445200,2.32708446,232.7084,1.32708446,132.7084
2025,erc1155,20,1098642,1088652,2187294,619080,3.53313627,353.3136,2.53313627,253.3136
2025,erc1155,22,1128711,1129676,2258387,641539,3.52026455,352.0265,2.52026455,252.0265
2025,erc1155,23,1067934,1067180,2135114,741286,2.88028372,288.0284,1.88028372,188.0284
2025,erc1155,24,86374,118924,205298,32550,6.30715822,630.7158,5.30715822,530.7158
2025,erc1155,25,3026764,3869052,6895816,1213275,5.68363809,568.3638,4.68363809,468.3638
2025,erc1155,27,3053345,4487857,7541202,1435061,5.25496965,525.4970,4.25496965,425.4970
2025,erc1155,28,44148,73548,117696,29400,4.00326531,400.3265,3.00326531,300.3265
2025,erc1155,29,1016259,2448459,3464718,1432200,2.41915794,241.9158,1.41915794,141.9158
2025,erc1155,3,400599,395156,795755,165356,4.81237451,481.2375,3.81237451,381.2375
2025,erc1155,30,28635,59610,88245,30975,2.84891041,284.8910,1.84891041,184.8910
2025,erc1155,31,10527,39927,50454,29400,1.71612245,171.6122,0.71612245,71.6122
2025,erc1155,32,32536,338536,371072,1474515,0.25165699,25.1657,-0.74834301,-74.8343
2025,erc1155,4,551645,551630,1103275,238409,4.62765667,462.7657,3.62765667,362.7657
2025,erc1155,5,18610,18610,37220,38010,0.97921600,97.9216,-0.02078400,-2.0784
2025,erc1155,6,692769,692769,1385538,445200,3.11216981,311.2170,2.11216981,211.2170
2025,erc1155,7,23685,23685,47370,33663,1.40718296,140.7183,0.40718296,40.7183
2025,erc1155,8,13674,13674,27348,26775,1.02140056,102.1401,0.02140056,2.1401
2025,erc1155,9,510122,510119,1020241,308553,3.30653405,330.6534,2.30653405,230.6534
2026,erc1155,10,7778,7778,15556,33075,0.47032502,47.0325,-0.52967498,-52.9675
2026,erc1155,11,114283,114283,228566,692451,0.33008256,33.0083,-0.66991744,-66.9917
2026,erc1155,12,202990,204799,407789,444140,0.91815419,91.8154,-0.08184581,-8.1846
2026,erc1155,13,311245,315152,626397,648943,0.96525735,96.5257,-0.03474265,-3.4743
2026,erc1155,14,4304,4304,8608,31500,0.27326984,27.3270,-0.72673016,-72.6730
2026,erc1155,16,186379,186379,372758,626260,0.59521285,59.5213,-0.40478715,-40.4787
2026,erc1155,17,437979,400243,838222,522584,1.60399476,160.3995,0.60399476,60.3995
2026,erc1155,18,634567,624416,1258983,706912,1.78096142,178.0961,0.78096142,78.0961
2026,erc1155,19,170320,170320,340640,445200,0.76513926,76.5139,-0.23486074,-23.4861
2026,erc1155,20,472811,464391,937202,619080,1.51386251,151.3863,0.51386251,51.3863
2026,erc1155,22,467881,467881,935762,641539,1.45862060,145.8621,0.45862060,45.8621
2026,erc1155,23,420651,413968,834619,741286,1.12590687,112.5907,0.12590687,12.5907
2026,erc1155,24,11770,11770,23540,32550,0.72319508,72.3195,-0.27680492,-27.6805
2026,erc1155,25,835491,835491,1670982,1213275,1.37724918,137.7249,0.37724918,37.7249
2026,erc1155,27,1171206,1160628,2331834,1435061,1.62490236,162.4902,0.62490236,62.4902
2026,erc1155,28,6472,6472,12944,29400,0.44027211,44.0272,-0.55972789,-55.9728
2026,erc1155,29,877510,877510,1755020,1432200,1.22540148,122.5401,0.22540148,22.5401
2026,erc1155,3,81213,86646,167859,165356,1.01513704,101.5137,0.01513704,1.5137
2026,erc1155,30,6821,6821,13642,30975,0.44041969,44.0420,-0.55958031,-55.9580
2026,erc1155,31,3993,3993,7986,29400,0.27163265,27.1633,-0.72836735,-72.8367
2026,erc1155,32,816199,1842536,2658735,1474515,1.80312510,180.3125,0.80312510,80.3125
2026,erc1155,4,86325,86340,172665,238409,0.72423860,72.4239,-0.27576140,-27.5761
2026,erc1155,5,5351,5351,10702,38010,0.28155748,28.1557,-0.71844252,-71.8443
2026,erc1155,6,153234,153234,306468,445200,0.68838275,68.8383,-0.31161725,-31.1617
2026,erc1155,7,5571,5571,11142,33663,0.33098654,33.0987,-0.66901346,-66.9013
2026,erc1155,8,4733,4723,9456,26775,0.35316527,35.3165,-0.64683473,-64.6835
2026,erc1155,9,188609,180336,368945,308553,1.19572650,119.5727,0.19572650,19.5727
