block_date,mid_price,base_reserve,quote_reserve,rejected_buy,rejected_sell
2024-12-25,1001071550853113311,197942000000000000000000,202152359022818370834930,0,0
2024-12-26,1001103035903962111,197942000000000000000000,202275613672330799338032,0,0
2024-12-27,990473040716908382,217065000000000000000000,183351010952441767434009,0,0
2024-12-28,996154449858252041,207514000000000000000000,192918933771104138931637,0,0
2024-12-29,1001086442028922046,198113000000000000000000,202385448843261472951940,0,0
2024-12-30,1001179829267828096,197942000000000000000000,202575694533145648896030,0,0
2024-12-31,1000851730703758431,198602000000000000000000,201963643939540169508923,0,0
2025-01-01,1001195529399444530,197945000000000000000000,202640246208863188351153,0,0
2025-01-02,1000899813426488374,198523000000000000000000,202072260545659061610639,0,0
2025-01-03,1001205534512023376,197942000000000000000000,202676334323500312855588,0,0
2025-01-04,1001207617902389693,197942000000000000000000,202684493297284809368115,0,0
2025-01-05,1001187234010374313,197994000000000000000000,202658193353885886525269,0,0
2025-01-06,1001215517953517479,197951000000000000000000,202724691110207870570566,0,0
2025-01-07,1001221039530180507,197942000000000000000000,202737040993397191487329,0,0
2025-01-08,999461700638578827,201429000000000000000000,199293974692143540247450,0,0
2025-01-09,1000223596466909622,199925000000000000000000,200816842260428450484676,0,0
2025-01-10,1000963267405675960,198482000000000000000000,202280019056783938108420,0,0
2025-01-11,1001239920534055169,197952000000000000000000,202821213131162733468697,0,0
2025-01-12,1001249918497984529,197942000000000000000000,202850044431148270226430,0,0
2025-01-13,1001224798559099951,197999000000000000000000,202810426556262909926634,0,0
2025-01-14,1001258207333568961,197942000000000000000000,202882488021244814786247,0,0
2025-01-15,1000274406240702115,199887000000000000000000,200981147282173710701763,0,0
2025-01-16,998852753081576754,202722000000000000000000,198206193627790343054963,0,0
2025-01-17,1001297921572441717,197942000000000000000000,203037752387633952862943,0,0
2025-01-18,994996572765136913,209914000000000000000000,191173324048535102615588,0,0
2025-01-19,983170907279729684,228215000000000000000000,173198893165063107425046,0,0
2025-01-20,982448145665944952,229197000000000000000000,172250821978876597247534,0,0
2025-01-21,981037581949365837,231069000000000000000000,170437266655627135086110,0,0
2025-01-22,980025893749535867,232398000000000000000000,169180818165379327400584,0,0
2025-01-23,1001424882887996133,197942000000000000000000,203531540502519609385409,0,0
2025-01-24,1001205655343687414,198376000000000000000000,203120873847076503800594,0,0
2025-01-25,1000989457314036820,198804000000000000000000,202710479833122261423925,0,0
2025-01-26,1001438179233621366,197942000000000000000000,203583496787505806014183,0,0
2025-01-27,1000985738359912309,198822000000000000000000,202714283481025094467468,0,0
2025-01-28,1001380604634252053,198069000000000000000000,203489688838430869487620,0,0
2025-01-29,1001446169124933033,197945000000000000000000,203617819482854172515249,0,0
2025-01-30,1001358659072809151,198136000000000000000000,203473014292037708765430,0,0
2025-01-31,995631495915488047,209127000000000000000000,192604910392667310392113,0,0
2025-02-01,992779096780912433,214079000000000000000000,187718920001250039169675,0,0
2025-02-02,993263604457556089,213281000000000000000000,188541745549332855400061,0,0
2025-02-03,996699892563432270,207246000000000000000000,194588737596969537195033,0,0
2025-02-04,1001361105794593824,198283000000000000000000,203633657519002419601824,0,0
2025-02-05,998833986839224920,203283000000000000000000,198682085514284799327173,0,0
2025-02-06,997795191407398543,205294000000000000000000,196712245009954250192813,0,0
2025-02-07,999513656167088590,201991000000000000000000,200054457563688136006107,0,0
2025-02-08,1001564638057252876,197974000000000000000000,204109556334705118068316,0,0
2025-02-09,1001582191670520438,197942000000000000000000,204144881689843920468853,0,0
2025-02-10,1001558134839746227,197992000000000000000000,204102834936056637181534,0,0
2025-02-11,1001589568260678173,197942000000000000000000,204173670690876661061743,0,0
