block_date,mid_price,base_reserve,quote_reserve,rejected_buy,rejected_sell
2024-12-25,10011553162826869220000,183666000000000000000000,1878764399399941876695688900,0,0
2024-12-26,10011892768559790320000,183666000000000000000000,1879996906897711831322112008,0,0
2024-12-27,9896435440123380345858,202789000000000000000000,1690814400583153390924415122,0,0
2024-12-28,9958429330115432778118,193238000000000000000000,1786439731446263637341736816,0,0
2024-12-29,10011712991936492600000,183837000000000000000000,1881094705883096730738110823,0,0
2024-12-30,10012721114505551670000,183666000000000000000000,1882997327437758547757495823,0,0
2024-12-31,10009179972604792390000,184326000000000000000000,1876876314104724738494094281,0,0
2025-01-01,10012890457562127500000,183669000000000000000000,1883642873025866419926132581,0,0
2025-01-02,10009698687054586520000,184247000000000000000000,1877962551481168519811385281,0,0
2025-01-03,10012998399686660240000,183666000000000000000000,1884003780016513903831346450,0,0
2025-01-04,10013020873679312590000,183666000000000000000000,1884085376764583819464557700,0,0
2025-01-05,10012800727003596430000,183718000000000000000000,1883822346055473149296214868,0,0
2025-01-06,10013106047037346920000,183675000000000000000000,1884487380489979620530419068,0,0
2025-01-07,10013165656586074240000,183666000000000000000000,1884610890963142691478764418,0,0
2025-01-08,9994200817801865983928,187153000000000000000000,1850179308404044267623868114,0,0
2025-01-09,10002408113364287010000,185649000000000000000000,1865407797033510676886204194,0,0
2025-01-10,10010383046922866090000,184206000000000000000000,1880040233250008554712362695,0,0
2025-01-11,10013369280820116890000,183676000000000000000000,1885452637812046477919748195,0,0
2025-01-12,10013477186946773850000,183666000000000000000000,1885740975268170892336476945,0,0
2025-01-13,10013205909307933870000,183723000000000000000000,1885344755124406365822417295,0,0
2025-01-14,10013566603634343300000,183666000000000000000000,1886065437391020364522207045,0,0
2025-01-15,10002955430623175810000,185611000000000000000000,1867050882583378057887271683,0,0
2025-01-16,9987633292692758703783,188446000000000000000000,1839302247667231902244415126,0,0
2025-01-17,10013995032621738460000,183666000000000000000000,1887618093851078328526152634,0,0
2025-01-18,9945857198109227773083,195638000000000000000000,1768990888655811267691298021,0,0
2025-01-19,9815841951284562272462,213939000000000000000000,1589419279315087396083181509,0,0
2025-01-20,9807808178311136303149,214921000000000000000000,1579954258987700260690694938,0,0
2025-01-21,9792101076479038167036,216793000000000000000000,1561850970693808979876970244,0,0
2025-01-22,9780814739283019266188,218122000000000000000000,1549310629433439356604058344,0,0
2025-01-23,10015364750926021790000,183666000000000000000000,1892554248396317674186811515,0,0
2025-01-24,10012997481122239150000,184100000000000000000000,1888447154390794396638415865,0,0
2025-01-25,10010664110193379100000,184528000000000000000000,1884342860485696920714707865,0,0
2025-01-26,10015508205645467600000,183666000000000000000000,1893073855139792771156535365,0,0
2025-01-27,10010623938595237740000,184546000000000000000000,1884380899838968723546824965,0,0
2025-01-28,10014886295095156800000,183793000000000000000000,1892135663646315653576423015,0,0
2025-01-29,10015594391063609590000,183669000000000000000000,1893417111505248497212525415,0,0
2025-01-30,10014649159516151130000,183860000000000000000000,1891968879503012566368403103,0,0
2025-01-31,9952763802839005977423,194851000000000000000000,1783300440616269900796180365,0,0
2025-02-01,9921702147969364486414,199803000000000000000000,1734464079879727476514329987,0,0
2025-02-02,9926990738310207437791,199005000000000000000000,1742687464652458537468298814,0,0
2025-02-03,9964355142981016604011,192970000000000000000000,1803132441681279657337797414,0,0
2025-02-04,10014674703503722440000,184007000000000000000000,1893574821473421241895346762,0,0
2025-02-05,9987433273159680407881,189007000000000000000000,1844058716875086964082852523,0,0
2025-02-06,9976212707165794017373,191018000000000000000000,1824362902180048910730980367,0,0
2025-02-07,9994762150150186844090,187715000000000000000000,1857781509894097072186084208,0,0
2025-02-08,10016872430841618590000,183698000000000000000000,1898334166138007378551362632,0,0
2025-02-09,10017062050859380030000,183666000000000000000000,1898687463069151796099804382,0,0
2025-02-10,10016802141987512850000,183716000000000000000000,1898266943205669589241775632,0,0
2025-02-11,10017141646324626980000,183666000000000000000000,1898975383574097939650891332,0,0
2025-02-12,10016109218139031080000,183871000000000000000000,1897367292302980602386814064,0,0
2025-02-13,10017274355788400240000,183666000000000000000000,1899455220050629474251067364,0,0
2025-02-14,10017113031356154820000,183716000000000000000000,1899391647948609208176903412,0,0
2025-02-15,10007913732625763990000,185397000000000000000000,1883143675119645463863294726,0,0
2025-02-16,10005579964552017180000,185838000000000000000000,1879026232339381909418039271,0,0
2025-02-17,9996302067295118486187,187580000000000000000000,1862095540064526536248674431,0,0
2025-02-18,10001769293275386600000,186588000000000000000000,1872475459698566825244841274,0,0
2025-02-19,10016605640631985360000,183919000000000000000000,1899662743748159329452032263,0,0
2025-02-20,10018047798605312550000,183666000000000000000000,1902249263909966167539347263,0,0
2025-02-21,10017003139581097220000,183855000000000000000000,1900437434984957250665801163,0,0
2025-02-22,9983932364322930024223,189928000000000000000000,1840645302265543744216590674,0,0
2025-02-23,10005233847973450230000,186098000000000000000000,1880381722744003509020358358,0,0
2025-02-24,10018772234652658110000,183666000000000000000000,1904860959410857380346715758,0,0
2025-02-26,10018945819108374430000,183667000000000000000000,1905497937292926520939954863,0,0
2025-02-27,10019059447860445460000,183666000000000000000000,1905897735375483647791090864,0,0
2025-02-28,10019099973626847800000,183666000000000000000000,1906044084060961456411756564,0,0
2025-03-02,10019159891422652500000,183666000000000000000000,1906260431783928168664132564,0,0
2025-03-03,10018989696744984420000,183721000000000000000000,1906219846459769980918079393,0,0
2025-03-04,10019430369000665270000,183666000000000000000000,1907236547154076279666312965,0,0
2025-03-05,10019491832114463060000,183666000000000000000000,1907458409333286059201225215,0,0
2025-03-06,10019528045721429450000,183666000000000000000000,1907589139907358453938589715,0,0
2025-03-07,10019550607021373850000,183666000000000000000000,1907670589410038779852595965,0,0
2025-03-08,10019571142948601640000,183666000000000000000000,1907744726409139952935694965,0,0
2025-03-09,10019569536899020790000,183667000000000000000000,1907749385204524527492515665,0,0
