token_standard,token_id,total_supply,days,buy_then_sell_min_price,buy_then_sell_max_price,buy_then_sell_final_price,sell_then_buy_min_price,sell_then_buy_max_price,sell_then_buy_final_price,rejected_buy_base,rejected_sell_base
erc1155,3,165356,515,8952.786915,10127.261300,10126.815567,8943.747632,10123.766805,10123.322474,0.000000,0.000000
erc1155,4,238409,515,8720.003290,10097.023158,10097.023158,8718.320229,10096.726402,10096.726402,0.000000,0.000000
erc1155,5,38010,503,10009.513218,10054.298131,10054.298131,10009.512834,10054.295753,10054.295753,0.000000,0.000000
erc1155,6,445200,512,9744.460779,10066.474186,10066.474186,9744.168486,10066.310020,10066.310020,0.000000,0.000000
erc1155,7,33663,504,13337.347354,72068.350828,72068.350828,13337.345786,70913.932307,70913.932307,0.000000,0.000000
erc1155,8,26775,473,9862.376431,10052.700739,10050.100580,9862.375134,10052.696937,10050.096786,0.000000,0.000000
erc1155,9,308553,517,9197.065914,10087.276613,9893.879259,9197.005726,10087.263988,9893.840127,0.000000,0.000000
erc1155,10,33075,489,9965.962299,10089.154476,10089.154476,9965.959988,10089.144222,10089.144222,0.000000,0.000000
erc1155,11,692451,515,9999.990372,11427.079106,11427.079106,9999.990372,11426.665091,11426.665091,294919.000000,0.000000
erc1155,12,444140,518,8500.500865,10095.347104,10095.347104,8500.177834,10095.326304,10095.326304,0.000000,0.000000
erc1155,13,648943,521,9999.989727,19189.650735,19189.650735,9999.989727,19124.958037,19124.958037,296471.000000,0.000000
erc1155,14,31500,469,10035.506908,10121.945074,10121.945074,10035.501511,10121.908937,10121.908937,0.000000,0.000000
erc1155,16,626260,514,9924.047135,10062.663830,10062.663830,9924.027822,10062.635991,10062.635991,0.000000,0.000000
erc1155,17,522584,520,9461.409071,11143.842430,9976.287096,9461.194090,11143.235686,9975.983509,227155.000000,0.000000
erc1155,18,706912,518,8486.730073,10166.128598,9813.440783,8486.384666,10166.098085,9813.326678,0.000000,0.000000
erc1155,19,445200,511,8999.903204,10055.309778,10055.309778,8999.752918,10055.296252,10055.296252,0.000000,0.000000
erc1155,20,619080,517,9576.276845,10108.572552,9902.228479,9576.264597,10108.555041,9902.185804,0.000000,0.000000
erc1155,22,641539,518,9561.537808,10161.210744,10161.210744,9561.422891,10161.164107,10161.164107,0.000000,0.000000
erc1155,23,741286,518,8576.238888,10176.690777,10096.519776,8575.895356,10176.650528,10096.482137,0.000000,0.000000
erc1155,24,32550,399,1312.513449,9973.332764,2520.171868,9225.352019,10072.362314,10072.362314,45109.000000,0.000000
erc1155,25,1213275,518,10000.000027,4454157.373064,46664.057194,10000.000027,31808444.453116,1021112.075455,939474.000000,0.000000
erc1155,27,1435061,428,16501.221542,3950482.788245,42020.316414,17057.275185,120172920.894739,3924343.414523,1121226.000000,0.000000
erc1155,28,29400,271,7534.092610,8148.728043,8148.728043,7533.938746,8147.894626,8147.894626,34007.000000,0.000000
erc1155,29,1432200,317,13852.992064,10562583.316816,98756.525002,13852.328864,202911355.656838,489202.071643,1062966.000000,0.000000
erc1155,30,30975,203,9684.614708,20656.847863,20656.847863,9684.614708,20493.034791,20493.034791,24502.000000,0.000000
erc1155,31,29400,142,9910.222249,11888.461551,11888.461551,9910.222249,11886.072722,11886.072722,25827.000000,0.000000
erc1155,32,1474515,204,10673.338206,1218382199.696480,1463575.088631,10673.337767,3970085112.022038,421177.772132,927489.000000,0.000000
