block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10029098385910974530000,206255600000000000000000,2180690890025879876454186000,19757000000000000000000,13939000000000000000000,0,0
2024-12-26,10024787606197515860000,207178600000000000000000,2173079889715096630013409050,35648000000000000000000,30753000000000000000000,0,0
2024-12-27,9996152782676562639403,213090600000000000000000,2114719580799629051026365627,40881000000000000000000,41898000000000000000000,0,0
2024-12-28,9963358326494540544396,219731600000000000000000,2049503606239379808868625940,48180000000000000000000,55838000000000000000000,0,0
2024-12-29,9989544016266753122088,214539600000000000000000,2101748820974963696356182326,55252000000000000000000,57718000000000000000000,0,0
2024-12-30,10030417805217317780000,206216600000000000000000,2185577677015767071679706819,64588000000000000000000,58731000000000000000000,0,0
2024-12-31,10028279024284855010000,206637600000000000000000,2181458487414670089864984019,65406000000000000000000,59970000000000000000000,0,0
2025-01-01,10015904111576953690000,209108600000000000000000,2156968422868633473974461019,66908000000000000000000,63943000000000000000000,0,0
2025-01-02,10027538962052826820000,206812600000000000000000,2180332644001598657602760469,71591000000000000000000,66330000000000000000000,0,0
2025-01-03,10030654218111759090000,206216600000000000000000,2186527078161516602942386269,74053000000000000000000,68196000000000000000000,0,0
2025-01-04,10030663760450639880000,206216600000000000000000,2186565397282897310448016869,74435000000000000000000,68578000000000000000000,0,0
2025-01-05,10030722042659044970000,206216600000000000000000,2186799489500121582141523969,76768000000000000000000,70911000000000000000000,0,0
2025-01-06,10018568496885144900000,208627600000000000000000,2162924122239845941988289019,78494000000000000000000,75048000000000000000000,0,0
2025-01-07,10030838163933984490000,206216600000000000000000,2187265691885658594813896219,81416000000000000000000,75559000000000000000000,0,0
2025-01-08,10017162483515310350000,208940600000000000000000,2160407650829340316478799669,84513000000000000000000,81380000000000000000000,0,0
2025-01-09,10030679900624056940000,206284600000000000000000,2187356971396647219728315669,89091000000000000000000,83302000000000000000000,0,0
2025-01-10,10029565256488302940000,206504600000000000000000,2185223671810037181296198319,89712000000000000000000,84143000000000000000000,0,0
2025-01-11,10031098489794604880000,206216600000000000000000,2188310861613364721471705219,91834000000000000000000,85977000000000000000000,0,0
