token_standard,token_id,buy_then_sell_price_stddev,sell_then_buy_price_stddev,average_price_stddev
erc1155,5,6.649372,6.648795,6.649084
erc1155,8,10.753850,10.753133,10.753492
erc1155,14,13.357789,13.348258,13.353023
erc1155,10,13.474548,13.471696,13.473122
erc1155,16,16.530388,16.522211,16.526300
erc1155,6,33.446642,33.436874,33.441758
erc1155,11,66.593968,66.546576,66.570272
erc1155,22,76.161672,76.165462,76.163567
erc1155,28,77.186349,77.037343,77.111846
erc1155,20,113.858807,113.870525,113.864666
erc1155,19,152.375425,152.393968,152.384697
erc1155,9,154.294207,154.306092,154.300150
erc1155,4,187.282722,187.452830,187.367776
erc1155,3,223.674122,224.675018,224.174570
erc1155,31,247.484992,247.157164,247.321078
erc1155,23,286.346494,286.400201,286.373347
erc1155,12,354.128781,354.213707,354.171244
erc1155,18,372.938100,373.013305,372.975703
erc1155,17,463.419949,463.427309,463.423629
erc1155,24,999.936999,52.913085,526.425042
erc1155,13,937.958037,936.296863,937.127450
erc1155,30,1807.944521,1781.595078,1794.769799
erc1155,7,3478.859170,3291.089202,3384.974186
erc1155,25,329182.537186,1477544.657474,903363.597330
erc1155,27,285762.837905,9422648.895567,4854205.866736
erc1155,29,617667.807552,11364651.812039,5991159.809796
erc1155,32,95044332.472640,305193224.773887,200118778.623264
