token_standard,token_id,buy_then_sell_min_price,buy_then_sell_max_price,buy_then_sell_range,sell_then_buy_min_price,sell_then_buy_max_price,sell_then_buy_range,average_price_range
erc1155,5,10009.513218,10054.298131,44.784913,10009.512834,10054.295753,44.782920,44.783916
erc1155,14,10035.506908,10121.945074,86.438167,10035.501511,10121.908937,86.407426,86.422796
erc1155,10,9965.962299,10089.154476,123.192178,9965.959988,10089.144222,123.184235,123.188206
erc1155,16,9924.047135,10062.663830,138.616695,9924.027822,10062.635991,138.608170,138.612433
erc1155,8,9862.376431,10052.700739,190.324308,9862.375134,10052.696937,190.321804,190.323056
erc1155,6,9744.460779,10066.474186,322.013407,9744.168486,10066.310020,322.141535,322.077471
erc1155,20,9576.276845,10108.572552,532.295707,9576.264597,10108.555041,532.290443,532.293075
erc1155,22,9561.537808,10161.210744,599.672936,9561.422891,10161.164107,599.741216,599.707076
erc1155,28,7534.092610,8148.728043,614.635433,7533.938746,8147.894626,613.955880,614.295656
erc1155,9,9197.065914,10087.276613,890.210699,9197.005726,10087.263988,890.258262,890.234480
erc1155,19,8999.903204,10055.309778,1055.406574,8999.752918,10055.296252,1055.543334,1055.474954
erc1155,3,8952.786915,10127.261300,1174.474385,8943.747632,10123.766805,1180.019173,1177.246779
erc1155,4,8720.003290,10097.023158,1377.019868,8718.320229,10096.726402,1378.406173,1377.713021
erc1155,11,9999.990372,11427.079106,1427.088734,9999.990372,11426.665091,1426.674719,1426.881726
erc1155,12,8500.500865,10095.347104,1594.846239,8500.177834,10095.326304,1595.148470,1594.997355
erc1155,23,8576.238888,10176.690777,1600.451889,8575.895356,10176.650528,1600.755172,1600.603531
erc1155,18,8486.730073,10166.128598,1679.398525,8486.384666,10166.098085,1679.713419,1679.555972
erc1155,17,9461.409071,11143.842430,1682.433359,9461.194090,11143.235686,1682.041597,1682.237478
erc1155,31,9910.222249,11888.461551,1978.239302,9910.222249,11886.072722,1975.850473,1977.044888
erc1155,24,1312.513449,9973.332764,8660.819315,9225.352019,10072.362314,847.010294,4753.914805
erc1155,13,9999.989727,19189.650735,9189.661009,9999.989727,19124.958037,9124.968310,9157.314659
erc1155,30,9684.614708,20656.847863,10972.233156,9684.614708,20493.034791,10808.420083,10890.326619
erc1155,7,13337.347354,72068.350828,58731.003474,13337.345786,70913.932307,57576.586521,58153.794998
erc1155,25,10000.000027,4454157.373064,4444157.373037,10000.000027,31808444.453116,31798444.453089,18121300.913063
erc1155,27,16501.221542,3950482.788245,3933981.566703,17057.275185,120172920.894739,120155863.619554,62044922.593129
erc1155,29,13852.992064,10562583.316816,10548730.324752,13852.328864,202911355.656838,202897503.327974,106723116.826363
erc1155,32,10673.338206,1218382199.696480,1218371526.358273,10673.337767,3970085112.022038,3970074438.684271,2594222982.521272
