block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2024-12-22,erc1155,11,1,294919,294920,294918,692451,0.42590739,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-23,erc1155,11,0,61928,61928,61928,692451,0.08943304,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-24,erc1155,11,0,10299,10299,10299,692451,0.01487325,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-25,erc1155,11,6694,6746,13440,52,692451,0.01940932,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-26,erc1155,11,4625,4626,9251,1,692451,0.01335979,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-27,erc1155,11,1058,1058,2116,0,692451,0.00305581,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-28,erc1155,11,1471,1471,2942,0,692451,0.00424868,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-29,erc1155,11,752,752,1504,0,692451,0.00217199,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-30,erc1155,11,3871,3871,7742,0,692451,0.01118057,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2024-12-31,erc1155,11,399,399,798,0,692451,0.00115243,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-01,erc1155,11,2614,2614,5228,0,692451,0.00754999,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-02,erc1155,11,74,74,148,0,692451,0.00021373,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-03,erc1155,11,2197,2197,4394,0,692451,0.00634558,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-04,erc1155,11,1536,1536,3072,0,692451,0.00443641,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-05,erc1155,11,1565,1565,3130,0,692451,0.00452018,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-06,erc1155,11,7388,7388,14776,0,692451,0.02133869,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-07,erc1155,11,82,82,164,0,692451,0.00023684,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-08,erc1155,11,7640,7640,15280,0,692451,0.02206654,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-09,erc1155,11,1595,1595,3190,0,692451,0.00460682,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-10,erc1155,11,2134,2134,4268,0,692451,0.00616361,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-11,erc1155,11,39,39,78,0,692451,0.00011264,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-12,erc1155,11,411,411,822,0,692451,0.00118709,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-13,erc1155,11,817,817,1634,0,692451,0.00235973,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-14,erc1155,11,389,389,778,0,692451,0.00112355,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-15,erc1155,11,76,76,152,0,692451,0.00021951,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-16,erc1155,11,3443,3443,6886,0,692451,0.00994439,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-17,erc1155,11,369,369,738,0,692451,0.00106578,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-18,erc1155,11,2227,2227,4454,0,692451,0.00643222,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-19,erc1155,11,168,168,336,0,692451,0.00048523,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-20,erc1155,11,628,628,1256,0,692451,0.00181385,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-21,erc1155,11,6367,5695,12062,-672,692451,0.01741928,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-22,erc1155,11,2847,3519,6366,672,692451,0.00919343,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-23,erc1155,11,560,560,1120,0,692451,0.00161744,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-24,erc1155,11,230,230,460,0,692451,0.00066431,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-25,erc1155,11,360,360,720,0,692451,0.00103978,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-26,erc1155,11,192,192,384,0,692451,0.00055455,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-27,erc1155,11,464,464,928,0,692451,0.00134017,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-28,erc1155,11,26,26,52,0,692451,0.00007510,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-29,erc1155,11,130,130,260,0,692451,0.00037548,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-30,erc1155,11,928,928,1856,0,692451,0.00268033,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-01-31,erc1155,11,741,741,1482,0,692451,0.00214022,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-01,erc1155,11,3399,3399,6798,0,692451,0.00981730,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-02,erc1155,11,102,102,204,0,692451,0.00029461,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-03,erc1155,11,5165,5164,10329,-1,692451,0.01491658,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-04,erc1155,11,4146,4147,8293,1,692451,0.01197630,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-05,erc1155,11,3246,3246,6492,0,692451,0.00937539,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-06,erc1155,11,31,31,62,0,692451,0.00008954,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-07,erc1155,11,1026,1026,2052,0,692451,0.00296339,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-08,erc1155,11,2072,2072,4144,0,692451,0.00598454,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-09,erc1155,11,693,693,1386,0,692451,0.00200159,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-10,erc1155,11,3476,3476,6952,0,692451,0.01003970,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-11,erc1155,11,167,167,334,0,692451,0.00048234,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-12,erc1155,11,225,225,450,0,692451,0.00064987,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-13,erc1155,11,130,130,260,0,692451,0.00037548,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-14,erc1155,11,2152,2152,4304,0,692451,0.00621560,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-15,erc1155,11,1007,1007,2014,0,692451,0.00290851,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-16,erc1155,11,734,734,1468,0,692451,0.00212001,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-17,erc1155,11,1488,1488,2976,0,692451,0.00429778,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-18,erc1155,11,800,800,1600,0,692451,0.00231063,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-19,erc1155,11,65,65,130,0,692451,0.00018774,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-20,erc1155,11,1539,1539,3078,0,692451,0.00444508,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-21,erc1155,11,1407,1407,2814,0,692451,0.00406383,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-22,erc1155,11,175,175,350,0,692451,0.00050545,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-23,erc1155,11,129,128,257,-1,692451,0.00037115,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-24,erc1155,11,3,4,7,1,692451,0.00001011,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-26,erc1155,11,4016,4016,8032,0,692451,0.01159938,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-27,erc1155,11,9018,9018,18036,0,692451,0.02604661,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-02-28,erc1155,11,2905,2905,5810,0,692451,0.00839049,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-02,erc1155,11,849,849,1698,0,692451,0.00245216,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-03,erc1155,11,2908,2908,5816,0,692451,0.00839915,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-04,erc1155,11,1191,1191,2382,0,692451,0.00343995,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-05,erc1155,11,874,874,1748,0,692451,0.00252437,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-06,erc1155,11,2152,2152,4304,0,692451,0.00621560,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-07,erc1155,11,452,452,904,0,692451,0.00130551,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-08,erc1155,11,909,909,1818,0,692451,0.00262546,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-09,erc1155,11,4127,4127,8254,0,692451,0.01191998,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-10,erc1155,11,264,264,528,0,692451,0.00076251,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-11,erc1155,11,1745,1745,3490,0,692451,0.00504007,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-12,erc1155,11,137,137,274,0,692451,0.00039570,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-13,erc1155,11,53,53,106,0,692451,0.00015308,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-14,erc1155,11,104,104,208,0,692451,0.00030038,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-15,erc1155,11,102,102,204,0,692451,0.00029461,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-16,erc1155,11,51,51,102,0,692451,0.00014730,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
2025-03-17,erc1155,11,321,321,642,0,692451,0.00092714,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2024-12-22
