block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2024-12-20,erc1155,18,0,23722,23722,23722,706912,0.03355722,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-21,erc1155,18,0,193387,193387,193387,706912,0.27356588,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-22,erc1155,18,0,221344,221344,221344,706912,0.31311394,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-23,erc1155,18,0,189785,189785,189785,706912,0.26847047,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-24,erc1155,18,0,72817,72817,72817,706912,0.10300716,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-25,erc1155,18,13939,19757,33696,5818,706912,0.04766647,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-26,erc1155,18,16814,15891,32705,-923,706912,0.04626460,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-27,erc1155,18,11145,5233,16378,-5912,706912,0.02316837,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-28,erc1155,18,13940,7299,21239,-6641,706912,0.03004476,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-29,erc1155,18,1880,7072,8952,5192,706912,0.01266353,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-30,erc1155,18,1013,9336,10349,8323,706912,0.01463973,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2024-12-31,erc1155,18,1239,818,2057,-421,706912,0.00290984,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-01,erc1155,18,3973,1502,5475,-2471,706912,0.00774495,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-02,erc1155,18,2387,4683,7070,2296,706912,0.01000124,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-03,erc1155,18,1866,2462,4328,596,706912,0.00612240,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-04,erc1155,18,382,382,764,0,706912,0.00108076,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-05,erc1155,18,2333,2333,4666,0,706912,0.00660054,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-06,erc1155,18,4137,1726,5863,-2411,706912,0.00829382,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-07,erc1155,18,511,2922,3433,2411,706912,0.00485633,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
