block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10011639292211313020000,206255600000000000000000,2180636836934850656860952100,19757000000000000000000,13939000000000000000000,0,0
2024-12-26,10009914919493268590000,207178600000000000000000,2173035587973891119350256750,35648000000000000000000,30753000000000000000000,0,0
2024-12-27,9998460451817171477356,213090600000000000000000,2114710805295494318262606080,40881000000000000000000,41898000000000000000000,0,0
2024-12-28,9985294110624945069446,219731600000000000000000,2049415703792930200844753801,48180000000000000000000,55838000000000000000000,0,0
2024-12-29,9995813513369937341127,214539600000000000000000,2101734233752353102562980985,55252000000000000000000,57718000000000000000000,0,0
2024-12-30,10012166988179748440000,206216600000000000000000,2185514242237981358664424985,64588000000000000000000,58731000000000000000000,0,0
2024-12-31,10011311476066887360000,206637600000000000000000,2181402276452772826706763035,65406000000000000000000,59970000000000000000000,0,0
2025-01-01,10006361513571471460000,209108600000000000000000,2156944500959261470718009585,66908000000000000000000,63943000000000000000000,0,0
2025-01-02,10011015448691848190000,206812600000000000000000,2180278289108516738745609135,71591000000000000000000,66330000000000000000000,0,0
2025-01-03,10012261549168222710000,206216600000000000000000,2186461902690282681206239635,74053000000000000000000,68196000000000000000000,0,0
2025-01-04,10012265365984932550000,206216600000000000000000,2186500150338351295039338335,74435000000000000000000,68578000000000000000000,0,0
2025-01-05,10012288677631100460000,206216600000000000000000,2186733767224866067409853585,76768000000000000000000,70911000000000000000000,0,0
2025-01-06,10007427261755238600000,208627600000000000000000,2162893510652179274354396385,78494000000000000000000,75048000000000000000000,0,0
2025-01-07,10012335124396933940000,206216600000000000000000,2187199128174407380690719035,81416000000000000000000,75559000000000000000000,0,0
2025-01-08,10006864853961276870000,208940600000000000000000,2160379452136531595416620635,84513000000000000000000,81380000000000000000000,0,0
2025-01-09,10012271815002048710000,206284600000000000000000,2187290179987820820048470235,89091000000000000000000,83302000000000000000000,0,0
2025-01-10,10011825957449382390000,206504600000000000000000,2185160720184206038062907435,89712000000000000000000,84143000000000000000000,0,0
2025-01-11,10012439249352602930000,206216600000000000000000,2188242276062623976417230135,91834000000000000000000,85977000000000000000000,0,0
2025-01-12,10012457442306239870000,206216600000000000000000,2188424521099930515867200135,93654000000000000000000,87797000000000000000000,0,0
2025-01-13,10011523327461234350000,206678600000000000000000,2183969601771351409176306185,95127000000000000000000,89732000000000000000000,0,0
2025-01-14,10009734126375916840000,207575600000000000000000,2175389830992469562512642885,98671000000000000000000,94173000000000000000000,0,0
2025-01-15,10004419558749096210000,210318600000000000000000,2149333217642263467249076885,111206000000000000000000,109451000000000000000000,0,0
2025-01-16,9973744896364283830224,225413600000000000000000,1999592551754158432333049008,114182000000000000000000,127522000000000000000000,0,0
2025-01-17,9971738405180309004914,226309600000000000000000,1990851263362994879019997111,115682000000000000000000,129918000000000000000000,0,0
2025-01-18,9917657443829616898256,246717600000000000000000,1789189207197285503875951743,118714000000000000000000,153358000000000000000000,0,0
2025-01-19,9917510799874555909645,246772600000000000000000,1788774120088379129926380869,120001000000000000000000,154700000000000000000000,0,0
2025-01-20,9917368953160900399616,246826600000000000000000,1788378925601848946390386212,121389000000000000000000,156142000000000000000000,0,0
2025-01-21,9889296231634132866447,255323600000000000000000,1704722334034379221326530098,122134000000000000000000,165384000000000000000000,0,0
2025-01-22,9902848814202039899436,251418600000000000000000,1744038504624886330031095057,130871000000000000000000,170216000000000000000000,0,0
2025-01-23,9918690366916326344004,246490600000000000000000,1793293146261755166398965501,137510000000000000000000,171927000000000000000000,0,0
2025-01-24,9937254517160252164373,240180600000000000000000,1856446643642997963168662596,145771000000000000000000,173878000000000000000000,0,0
2025-01-25,9939800179854746313586,239276600000000000000000,1865705924508746045863185242,148988000000000000000000,176191000000000000000000,0,0
2025-01-26,9896681854287281206394,253376600000000000000000,1726848650504498504729662221,152023000000000000000000,193326000000000000000000,0,0
2025-01-27,9915139027569282361823,247769600000000000000000,1782909843407005520930103209,160054000000000000000000,195750000000000000000000,0,0
2025-01-28,9907326871646376028100,250237600000000000000000,1758779390354381802697068901,162154000000000000000000,200318000000000000000000,0,0
2025-01-29,9953646259036157524109,234189600000000000000000,1919038184598256789582703997,179028000000000000000000,201144000000000000000000,0,0
2025-01-30,9957923725150320432425,232518600000000000000000,1936304304368139960253310528,186189000000000000000000,206634000000000000000000,0,0
2025-01-31,9954218704409673864761,234013600000000000000000,1921694553453076263154692758,188199000000000000000000,210139000000000000000000,0,0
2025-02-01,9870259969439237250996,260899600000000000000000,1656652798912871368695231153,190248000000000000000000,239074000000000000000000,0,0
2025-02-02,9855029096039466409226,264750600000000000000000,1619084631657684957640160676,192510000000000000000000,245187000000000000000000,0,0
2025-02-03,9853502421577914659923,265127600000000000000000,1615478821153034605783859948,193430000000000000000000,246484000000000000000000,0,0
2025-02-04,9852355424835458253239,265422600000000000000000,1612865276127492689147557987,196256000000000000000000,249605000000000000000000,0,0
2025-02-05,9827085666373944367679,271324600000000000000000,1556668181722132579318931867,212353000000000000000000,271604000000000000000000,0,0
2025-02-06,9830126778205327521879,270666600000000000000000,1563261129912610942639496118,213961000000000000000000,272554000000000000000000,0,0
2025-02-07,9847728098074936014446,266689600000000000000000,1602986465416549429199190147,221999000000000000000000,276615000000000000000000,0,0
2025-02-08,9874546853877868441035,260010600000000000000000,1669225205247802476201281473,229136000000000000000000,277073000000000000000000,0,0
2025-02-09,9870147176975039494497,261174600000000000000000,1657916458795353901534639638,230404000000000000000000,279505000000000000000000,0,0
2025-02-10,9932420254331267678272,242504600000000000000000,1844089619634440779610066977,252731000000000000000000,283162000000000000000000,0,0
2025-02-11,9946866611173181649213,237259600000000000000000,1896595691052551064518010014,259097000000000000000000,284283000000000000000000,0,0
2025-02-12,9959257991386346137355,232440600000000000000000,1945554775810991423040692627,271497000000000000000000,291864000000000000000000,0,0
2025-02-13,9882547001374737254069,258114600000000000000000,1692197616129575145511575552,272927000000000000000000,318968000000000000000000,0,0
2025-02-14,9858371778952145285415,264452600000000000000000,1630354953536578092426772315,277023000000000000000000,329402000000000000000000,0,0
2025-02-15,9871141078916794935200,261234600000000000000000,1662491867645498505924431028,282604000000000000000000,331765000000000000000000,0,0
2025-02-16,9871138032168945069933,261246600000000000000000,1662554976372294497768251739,284437000000000000000000,333610000000000000000000,0,0
2025-02-17,9892687310798784320892,255387600000000000000000,1721164536785249289165459135,294552000000000000000000,337866000000000000000000,0,0
2025-02-18,9958970497974655320821,232811600000000000000000,1946505141433204026290645161,318043000000000000000000,338781000000000000000000,0,0
2025-02-19,9989062436932400451026,219374600000000000000000,2081569393594834987339756815,335154000000000000000000,342455000000000000000000,0,0
2025-02-20,10004565196529879770000,211405600000000000000000,2161942644686993455659121671,346219000000000000000000,345551000000000000000000,0,0
2025-02-21,10015065075266013920000,206217600000000000000000,2214385540233538666005927921,353930000000000000000000,348074000000000000000000,0,0
2025-02-22,10015089318767868020000,206216600000000000000000,2214616165184857549185073521,356133000000000000000000,350276000000000000000000,0,0
2025-02-23,10013548988915608080000,206974600000000000000000,2207386502111447668385426571,359360000000000000000000,354261000000000000000000,0,0
2025-02-24,10014417712177641250000,206557600000000000000000,2211597632765977840563135621,359921000000000000000000,354405000000000000000000,0,0
2025-02-26,10015214720319742810000,206216600000000000000000,2215865035205643821321415571,368598000000000000000000,362741000000000000000000,0,0
2025-02-27,10015243647314191010000,206216600000000000000000,2216153020776820035558590571,371473000000000000000000,365616000000000000000000,0,0
2025-02-28,10015001177120256390000,206345600000000000000000,2215132371722676887643909121,374117000000000000000000,368389000000000000000000,0,0
2025-03-02,10015303474657553930000,206217600000000000000000,2216759402131241945497351921,377626000000000000000000,371770000000000000000000,0,0
2025-03-03,10015353367444783730000,206216600000000000000000,2217245228214360290601417421,382376000000000000000000,376519000000000000000000,0,0
2025-03-04,10015384820156810440000,206216600000000000000000,2217558265096046768873917421,385501000000000000000000,379644000000000000000000,0,0
2025-03-05,10015453967310949850000,206216600000000000000000,2218246507829656194450872821,392370000000000000000000,386513000000000000000000,0,0
2025-03-06,10015460188520740700000,206216600000000000000000,2218308405517745440793230921,392988000000000000000000,387131000000000000000000,0,0
2025-03-07,10015496179741377170000,206216600000000000000000,2218666533322557520631480921,396563000000000000000000,390706000000000000000000,0,0
2025-03-08,10015507032791253190000,206216600000000000000000,2218774507043403779264307921,397641000000000000000000,391784000000000000000000,0,0
2025-03-09,10015509026223667300000,206216600000000000000000,2218794337970593234809621621,397839000000000000000000,391982000000000000000000,0,0
2025-03-10,10015560861460633450000,206216600000000000000000,2219310094525511362620652221,402987000000000000000000,397130000000000000000000,0,0
2025-03-11,10014789312883428810000,206612600000000000000000,2215902814861614404775541821,408366000000000000000000,402905000000000000000000,0,0
2025-03-12,10015628282344482520000,206216600000000000000000,2219980814389376406303615421,409682000000000000000000,403825000000000000000000,0,0
2025-03-13,10015639320005891970000,206216600000000000000000,2220090592581146618647075021,410778000000000000000000,404921000000000000000000,0,0
2025-03-14,10015645936670635100000,206216600000000000000000,2220156397803097692499514971,411435000000000000000000,405578000000000000000000,0,0
2025-03-15,10015729979325267200000,206228600000000000000000,2221122746221373542565480271,422270000000000000000000,416425000000000000000000,0,0
2025-03-16,10015763448474756100000,206216600000000000000000,2221325468799776843843846171,423100000000000000000000,417243000000000000000000,0,0
2025-03-17,10015802920975733900000,206216600000000000000000,2221717977149116088105634971,427018000000000000000000,421161000000000000000000,0,0
2025-03-18,10015838134771677630000,206216600000000000000000,2222068101399098712139680971,430513000000000000000000,424656000000000000000000,0,0
2025-03-19,10015862176218359300000,206216600000000000000000,2222307112485400586201728071,432899000000000000000000,427042000000000000000000,0,0
2025-03-20,10015741774156662130000,206276600000000000000000,2221760451670283122922094471,433411000000000000000000,427614000000000000000000,0,0
2025-03-21,10015885205525427260000,206218600000000000000000,2222557737340782172517206071,435600000000000000000000,429745000000000000000000,0,0
2025-03-22,10015909130593417020000,206219600000000000000000,2222806420618436447410140171,438182000000000000000000,432328000000000000000000,0,0
2025-03-23,10015511839300681590000,206425600000000000000000,2221086390675035004442586571,441505000000000000000000,435857000000000000000000,0,0
2025-03-24,10015968595500797020000,206216600000000000000000,2223364941136475236837155071,443459000000000000000000,437602000000000000000000,0,0
2025-03-25,10015985286219979520000,206216600000000000000000,2223530821471972494512047871,445115000000000000000000,439258000000000000000000,0,0
2025-03-26,10016000425319231920000,206216600000000000000000,2223681274630584100144164571,446617000000000000000000,440760000000000000000000,0,0
2025-03-27,9994053952572340431157,217495600000000000000000,2112771068760670856852105616,460292000000000000000000,465714000000000000000000,0,0
2025-03-28,10001152063115191970000,213788600000000000000000,2150212490667541765528638319,465948000000000000000000,467663000000000000000000,0,0
2025-04-01,10012722843768247690000,207971600000000000000000,2209755843887281876919049319,482172000000000000000000,478070000000000000000000,0,0
2025-04-02,10011715893909120390000,208479600000000000000000,2204983874497335364580188919,485056000000000000000000,481462000000000000000000,0,0
2025-04-03,10016428483945171210000,206216600000000000000000,2227933386031420531881167369,489060000000000000000000,483203000000000000000000,0,0
2025-04-04,10016303557362114090000,206290600000000000000000,2227497127182619829363558369,492067000000000000000000,486284000000000000000000,0,0
2025-04-05,10016271733925534750000,206312600000000000000000,2227420013511924059731379719,493486000000000000000000,487725000000000000000000,0,0
2025-04-06,10010807859983880700000,208976600000000000000000,2201030011519917873807681319,495010000000000000000000,491913000000000000000000,0,0
2025-04-07,10010130388230022500000,209317600000000000000000,2197723709774548787737556419,495911000000000000000000,493155000000000000000000,0,0
2025-04-08,10003477065703764110000,212720600000000000000000,2164010072177254774659768619,497601000000000000000000,498248000000000000000000,0,0
2025-04-09,10005190164968822280000,211839600000000000000000,2172959105335933067188616869,499393000000000000000000,499159000000000000000000,0,0
2025-04-10,10004289735850692840000,212310600000000000000000,2168364685509181425824673019,500335000000000000000000,500572000000000000000000,0,0
2025-04-11,10001666303400593180000,213691600000000000000000,2154710286354094151759569919,501241000000000000000000,502859000000000000000000,0,0
2025-04-12,9990608368647713524018,219458600000000000000000,2097426440281477509486015361,502001000000000000000000,509386000000000000000000,0,0
2025-04-13,9987389570528229029629,221059600000000000000000,2081549870024126874316924948,502360000000000000000000,511346000000000000000000,0,0
2025-04-14,9993336560443753917339,218103600000000000000000,2111454041673649703842098908,507567000000000000000000,513597000000000000000000,0,0
2025-04-15,10001225710659140790000,213979600000000000000000,2152931102860862451193365694,512111000000000000000000,514017000000000000000000,0,0
2025-04-16,10000774289783692520000,214225600000000000000000,2150594976607569126441220494,513229000000000000000000,515381000000000000000000,0,0
2025-04-17,9966697539832120394511,230645600000000000000000,1987794935204251909407718072,516467000000000000000000,535039000000000000000000,0,0
2025-04-18,9957451830567690364555,234527600000000000000000,1949562724975333864759136492,518949000000000000000000,541403000000000000000000,0,0
2025-04-19,9954258712024648439472,235818600000000000000000,1936841086670556242646864342,519623000000000000000000,543368000000000000000000,0,0
2025-04-20,9950161089565513383482,237446600000000000000000,1920913206261664246893506591,521565000000000000000000,546938000000000000000000,0,0
2025-04-21,9928788639245021241958,245319600000000000000000,1843304751332747351226556424,524132000000000000000000,557378000000000000000000,0,0
2025-04-22,9927581095205827108237,245741600000000000000000,1839215339303794993734684438,524931000000000000000000,558599000000000000000000,0,0
2025-04-23,9927182930038665365399,245894600000000000000000,1837980481854319979014512371,527715000000000000000000,561536000000000000000000,0,0
2025-04-24,9920957813963458489856,248003600000000000000000,1817199308903101848647161605,528159000000000000000000,564089000000000000000000,0,0
