block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10011639253589500680000,206255600000000000000000,2180633853519776951581462825,19757000000000000000000,13939000000000000000000,0,0
2024-12-26,10009914841705877340000,207178600000000000000000,2173029642461504766932823281,35648000000000000000000,30753000000000000000000,0,0
2024-12-27,9998460369822331033047,213090600000000000000000,2114704276120170163426767486,40881000000000000000000,41898000000000000000000,0,0
2024-12-28,9985293972480405527492,219731600000000000000000,2049408193040658102692799254,48180000000000000000000,55838000000000000000000,0,0
2024-12-29,9995813418513881437169,214539600000000000000000,2101726591629040553103712379,55252000000000000000000,57718000000000000000000,0,0
2024-12-30,10012166904800725600000,206216600000000000000000,2185506503443685390605772517,64588000000000000000000,58731000000000000000000,0,0
2024-12-31,10011311392963233570000,206637600000000000000000,2181394526931937445739991617,65406000000000000000000,59970000000000000000000,0,0
2025-01-01,10006361432123694020000,209108600000000000000000,2156936689876096848730198617,66908000000000000000000,63943000000000000000000,0,0
2025-01-02,10011015364677623110000,206812600000000000000000,2180270361361431330219336467,71591000000000000000000,66330000000000000000000,0,0
2025-01-03,10012261464340368700000,206216600000000000000000,2186453925961241235369245567,74053000000000000000000,68196000000000000000000,0,0
2025-01-04,10012265281147235520000,206216600000000000000000,2186492172054171215171600067,74435000000000000000000,68578000000000000000000,0,0
2025-01-05,10012288592392101760000,206216600000000000000000,2186725730643933133301156917,76768000000000000000000,70911000000000000000000,0,0
2025-01-06,10007427178073732440000,208627600000000000000000,2162885399627369926541328817,78494000000000000000000,75048000000000000000000,0,0
2025-01-07,10012335038646885460000,206216600000000000000000,2187191001288593396165815167,81416000000000000000000,75559000000000000000000,0,0
2025-01-08,10006864769318249880000,208940600000000000000000,2160371136792061531483613767,84513000000000000000000,81380000000000000000000,0,0
2025-01-09,10012271727535774120000,206284600000000000000000,2187281772037981675355516067,89091000000000000000000,83302000000000000000000,0,0
2025-01-10,10011825870135602320000,206504600000000000000000,2185152306697950610860657667,89712000000000000000000,84143000000000000000000,0,0
2025-01-11,10012439161514354150000,206216600000000000000000,2188233820963066859030018167,91834000000000000000000,85977000000000000000000,0,0
2025-01-12,10012457354229219210000,206216600000000000000000,2188416030528626679505331167,93654000000000000000000,87797000000000000000000,0,0
2025-01-13,10011523239585298300000,206678600000000000000000,2183961080875616262800151667,95127000000000000000000,89732000000000000000000,0,0
2025-01-14,10009734038149334530000,207575600000000000000000,2175381143698011499489480717,98671000000000000000000,94173000000000000000000,0,0
