block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10002524153234131400000,133408000000000000000000,1337437554120412357586645380,3253000000000000000000,3101000000000000000000,0,0
2024-12-26,10002612266898422990000,133408000000000000000000,1337554932502026756155549077,4427000000000000000000,4275000000000000000000,0,0
2024-12-27,10002720800636087370000,133408000000000000000000,1337699492569864508419436018,5873000000000000000000,5721000000000000000000,0,0
2024-12-28,10002737238830578730000,133408000000000000000000,1337721396738022199855802717,6092000000000000000000,5940000000000000000000,0,0
2024-12-29,10002822884755220210000,133408000000000000000000,1337835479556055843456708648,7233000000000000000000,7081000000000000000000,0,0
2024-12-30,10002825962371857910000,133408000000000000000000,1337839580650593838187361798,7274000000000000000000,7122000000000000000000,0,0
2024-12-31,10002957778875546130000,133408000000000000000000,1338015115758072618053189982,9030000000000000000000,8878000000000000000000,0,0
2025-01-01,10003060325496305380000,133408000000000000000000,1338151686807915703926852876,10396000000000000000000,10244000000000000000000,0,0
2025-01-02,10003068508432008070000,133408000000000000000000,1338162589699617527860756176,10505000000000000000000,10353000000000000000000,0,0
2025-01-03,10003070460329858970000,133408000000000000000000,1338165190472148184888957676,10531000000000000000000,10379000000000000000000,0,0
2025-01-04,10003204169856070510000,133408000000000000000000,1338343227369466519561987003,12312000000000000000000,12160000000000000000000,0,0
2025-01-05,10003415901095032420000,133408000000000000000000,1338625023048036292556789427,15132000000000000000000,14980000000000000000000,0,0
2025-01-06,10003552562199822250000,133408000000000000000000,1338806962233384601972882089,16952000000000000000000,16800000000000000000000,0,0
2025-01-07,10003579520077137530000,133408000000000000000000,1338842870177417893254878210,17311000000000000000000,17159000000000000000000,0,0
2025-01-08,10004112970077889790000,133408000000000000000000,1339551572259536712764222969,24414000000000000000000,24262000000000000000000,0,0
2025-01-09,10004113946534739280000,133408000000000000000000,1339552872787895238274811469,24427000000000000000000,24275000000000000000000,0,0
2025-01-10,10004163295780499020000,133408000000000000000000,1339618583731802110572843175,25084000000000000000000,24932000000000000000000,0,0
2025-01-11,10004163446008364880000,133408000000000000000000,1339618783814918240948786475,25086000000000000000000,24934000000000000000000,0,0
2025-01-12,10004170131159781300000,133408000000000000000000,1339627687223967212773437325,25175000000000000000000,25023000000000000000000,0,0
2025-01-13,10004423432180022170000,133408000000000000000000,1339964607116534827696148872,28547000000000000000000,28395000000000000000000,0,0
2025-01-14,10004423882922051330000,133408000000000000000000,1339965207380592382795947472,28553000000000000000000,28401000000000000000000,0,0
2025-01-15,10004437104733273630000,133408000000000000000000,1339982814007907363461825872,28729000000000000000000,28577000000000000000000,0,0
2025-01-16,10004491311424099250000,133409000000000000000000,1340065068728509274818546964,29651000000000000000000,29500000000000000000000,0,0
2025-01-17,10004536872115955490000,133408000000000000000000,1340115635345517168821157405,30057000000000000000000,29905000000000000000000,0,0
2025-01-18,10004578343149088120000,133408000000000000000000,1340170849023668509302144100,30609000000000000000000,30457000000000000000000,0,0
2025-01-19,10004583301699479620000,133408000000000000000000,1340177451882270088323024100,30675000000000000000000,30523000000000000000000,0,0
2025-01-20,10004590213638636490000,133408000000000000000000,1340186655782044369621754300,30767000000000000000000,30615000000000000000000,0,0
2025-01-21,9951599832430614738713,136865000000000000000000,1305973346090620118933084456,31865000000000000000000,35170000000000000000000,0,0
2025-01-22,10004967025411582270000,133408000000000000000000,1340687492541209044727933418,35782000000000000000000,35630000000000000000000,0,0
2025-01-23,10004972661219366080000,133408000000000000000000,1340694996055789894022888418,35857000000000000000000,35705000000000000000000,0,0
2025-01-24,10004984534039510760000,133408000000000000000000,1340710802978129729879254618,36015000000000000000000,35863000000000000000000,0,0
2025-01-25,10004987990696534800000,133408000000000000000000,1340715405191740474859715918,36061000000000000000000,35909000000000000000000,0,0
2025-01-26,10004989568737587990000,133408000000000000000000,1340717506222693502027741418,36082000000000000000000,35930000000000000000000,0,0
2025-01-28,10004994453158229770000,133408000000000000000000,1340724009307647460022533418,36147000000000000000000,35995000000000000000000,0,0
2025-01-29,10005004222035145680000,133408000000000000000000,1340737015167680306820130418,36277000000000000000000,36125000000000000000000,0,0
2025-01-30,10005050286687369340000,133408000000000000000000,1340798331827567174669504868,36890000000000000000000,36738000000000000000000,0,0
2025-01-31,10005067720893187310000,133408000000000000000000,1340821541530431227885081668,37122000000000000000000,36970000000000000000000,0,0
2025-02-01,10005340450649883280000,133408000000000000000000,1341184138535129291638596185,40751000000000000000000,40599000000000000000000,0,0
2025-02-02,10005350597000815490000,133408000000000000000000,1341197645062162584713553185,40886000000000000000000,40734000000000000000000,0,0
2025-02-03,10005277045809342410000,133413000000000000000000,1341150269874860769476812285,40910000000000000000000,40763000000000000000000,0,0
2025-02-04,10005429289329111270000,133408000000000000000000,1341302362113582584236343575,41933000000000000000000,41781000000000000000000,0,0
2025-02-05,10006534088145727080000,133408000000000000000000,1342764912671646549706210544,56628000000000000000000,56476000000000000000000,0,0
2025-02-06,10006537321859951200000,133408000000000000000000,1342769215411924188937685044,56671000000000000000000,56519000000000000000000,0,0
2025-02-07,10006583045631693130000,133408000000000000000000,1342830041349090375908568940,57279000000000000000000,57127000000000000000000,0,0
2025-02-08,10006596356859158200000,133408000000000000000000,1342847751826647121098458590,57456000000000000000000,57304000000000000000000,0,0
2025-02-09,10006623581225809820000,133408000000000000000000,1342883970799759904527041190,57818000000000000000000,57666000000000000000000,0,0
2025-02-10,10006712476613480870000,133408000000000000000000,1343002197085620116162308722,59000000000000000000000,58848000000000000000000,0,0
2025-02-11,10006806716029758780000,133408000000000000000000,1343127522769297377083942951,60253000000000000000000,60101000000000000000000,0,0
