block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10034956681469770830000,121758000000000000000000,1259714784219078676062689050,10361000000000000000000,8303000000000000000000,0,0
2024-12-26,10035988998373532950000,121758000000000000000000,1260960528179064851255695700,22692000000000000000000,20634000000000000000000,0,0
2024-12-27,9675974366828917042472,140881000000000000000000,1073498986641722413333076687,25383000000000000000000,42448000000000000000000,0,0
2024-12-28,9873100796276596229633,131330000000000000000000,1167677284610518206386512776,38235000000000000000000,45749000000000000000000,0,0
2024-12-29,10035426761961555500000,121929000000000000000000,1262055185962083709779343486,50763000000000000000000,48876000000000000000000,0,0
2024-12-30,10038503648124619410000,121758000000000000000000,1263962725991454905647544236,52752000000000000000000,50694000000000000000000,0,0
2024-12-31,10027711160747503230000,122418000000000000000000,1257829605101083874842023736,57282000000000000000000,55884000000000000000000,0,0
2025-01-01,10039017622419413830000,121761000000000000000000,1264611454822416729842726386,59502000000000000000000,57447000000000000000000,0,0
2025-01-02,10029287001886591820000,122339000000000000000000,1258918229886842691131539486,60274000000000000000000,58797000000000000000000,0,0
2025-01-03,10039345733192189100000,121758000000000000000000,1264973608300019394200410136,62809000000000000000000,60751000000000000000000,0,0
2025-01-04,10039413979212373150000,121758000000000000000000,1265055459211450695364043636,63624000000000000000000,61566000000000000000000,0,0
2025-01-05,10038739945569644430000,121810000000000000000000,1264792140176221698521342836,66172000000000000000000,64166000000000000000000,0,0
2025-01-06,10039671678655270710000,121767000000000000000000,1265459248145180469516422236,68536000000000000000000,66487000000000000000000,0,0
2025-01-07,10039853692377239900000,121758000000000000000000,1265583093601842247430288386,68874000000000000000000,66816000000000000000000,0,0
2025-01-08,9982577688840561350870,125245000000000000000000,1231127241477216530525093802,71642000000000000000000,73071000000000000000000,0,0
2025-01-09,10007233064707155130000,123741000000000000000000,1246350759453700423713304772,74305000000000000000000,74230000000000000000000,0,0
2025-01-10,10031362379534675620000,122298000000000000000000,1261002168159136446290970222,76958000000000000000000,75440000000000000000000,0,0
2025-01-11,10040471007237807030000,121768000000000000000000,1266427627297344618779595222,78283000000000000000000,76235000000000000000000,0,0
2025-01-12,10040799878729527080000,121758000000000000000000,1266716960215558014070395222,80168000000000000000000,78110000000000000000000,0,0
2025-01-13,10039969664555312070000,121815000000000000000000,1266319851684510450249224422,81883000000000000000000,79882000000000000000000,0,0
2025-01-14,10041071487019334490000,121758000000000000000000,1267042620686793459641154372,83409000000000000000000,81351000000000000000000,0,0
2025-01-15,10008878597146036290000,123703000000000000000000,1247997651969078838914711522,86950000000000000000000,86837000000000000000000,0,0
2025-01-16,9962746962728331052986,126538000000000000000000,1220276858420760684629044109,91421000000000000000000,94143000000000000000000,0,0
2025-01-17,10042373150978179070000,121758000000000000000000,1268601788404183486977356781,98934000000000000000000,96876000000000000000000,0,0
2025-01-18,9834022519027853337868,133730000000000000000000,1150446402978056677505094174,101584000000000000000000,111498000000000000000000,0,0
2025-01-19,9408481248913216677169,152031000000000000000000,975422528939038093713994997,105728000000000000000000,133943000000000000000000,0,0
2025-01-20,9381143958517504697139,153013000000000000000000,966360006240075663755208219,106972000000000000000000,136169000000000000000000,0,0
2025-01-21,9327390971304676885630,154885000000000000000000,949080320461872293442831853,108509000000000000000000,139578000000000000000000,0,0
2025-01-22,9288569134581149130678,156214000000000000000000,937155033728036240806241087,112608000000000000000000,145006000000000000000000,0,0
2025-01-23,10046536028140912970000,121758000000000000000000,1273512586733416646804435554,148525000000000000000000,146467000000000000000000,0,0
2025-01-24,10039296235307874240000,122192000000000000000000,1269394050266844691069625654,150696000000000000000000,149072000000000000000000,0,0
2025-01-25,10032185571822760620000,122620000000000000000000,1265280146071344915552635654,152288000000000000000000,151092000000000000000000,0,0
2025-01-26,10046972189475676980000,121758000000000000000000,1274034272032022045119464004,153715000000000000000000,151657000000000000000000,0,0
2025-01-27,10032062446545316750000,122638000000000000000000,1265318441897435762157189604,154459000000000000000000,153281000000000000000000,0,0
2025-01-28,10045065788870266270000,121885000000000000000000,1273093451528900356597488904,156985000000000000000000,155054000000000000000000,0,0
2025-01-29,10047233849629546170000,121761000000000000000000,1274378863286887236509404204,157442000000000000000000,155387000000000000000000,0,0
2025-01-30,10044337227412148840000,121952000000000000000000,1272927538313934689849984954,161989000000000000000000,160125000000000000000000,0,0
2025-01-31,9855737042926163785533,132943000000000000000000,1164612587544355250495553393,167208000000000000000000,176335000000000000000000,0,0
2025-02-01,9757899290824130836260,137895000000000000000000,1116414796113199726854748396,168494000000000000000000,182573000000000000000000,0,0
2025-02-02,9774727086786483385124,137097000000000000000000,1124507833949809810837096293,171955000000000000000000,185236000000000000000000,0,0
2025-02-03,9891677127475010623428,131062000000000000000000,1184275170800691976980055140,179208000000000000000000,186454000000000000000000,0,0
2025-02-04,10044397220090448190000,122099000000000000000000,1274534738811442819036565232,192743000000000000000000,191026000000000000000000,0,0
2025-02-05,9962195049401133202434,127099000000000000000000,1225009254092712444197672047,195135000000000000000000,198418000000000000000000,0,0
2025-02-06,9928092833118542342259,129110000000000000000000,1205386398030384062221782374,197915000000000000000000,203209000000000000000000,0,0
2025-02-07,9984297539962364567882,125807000000000000000000,1238708638497835262882309821,203938000000000000000000,205929000000000000000000,0,0
2025-02-08,10051117333980418090000,121790000000000000000000,1279308734107730540776355693,209542000000000000000000,207516000000000000000000,0,0
2025-02-09,10051698800073922630000,121758000000000000000000,1279663252162299559600522793,209885000000000000000000,207827000000000000000000,0,0
2025-02-10,10050900968197790380000,121808000000000000000000,1279241328167905488972746993,210662000000000000000000,208654000000000000000000,0,0
2025-02-11,10051941004285292890000,121758000000000000000000,1279952467515100072905953493,212760000000000000000000,210702000000000000000000,0,0
2025-02-12,10048772730986015580000,121963000000000000000000,1278340198013318349002605893,217106000000000000000000,215253000000000000000000,0,0
2025-02-13,10052344936654604060000,121758000000000000000000,1280435191476777067460124793,217553000000000000000000,215495000000000000000000,0,0
2025-02-14,10051846963283912410000,121808000000000000000000,1280372595014158962523052593,221896000000000000000000,219888000000000000000000,0,0
2025-02-15,10023814012802054860000,123489000000000000000000,1264085706322519808750822993,226883000000000000000000,226556000000000000000000,0,0
2025-02-16,10016763038138387520000,123930000000000000000000,1259963194720514340884277893,229617000000000000000000,229731000000000000000000,0,0
2025-02-17,9988927985247263036633,125672000000000000000000,1243030658850836843439383894,233658000000000000000000,235514000000000000000000,0,0
2025-02-18,10005303078832396490000,124680000000000000000000,1253409786060688132171854915,238766000000000000000000,239630000000000000000000,0,0
2025-02-19,10050275562354084570000,122011000000000000000000,1280648332768242324468815715,244828000000000000000000,243023000000000000000000,0,0
2025-02-20,10054699392323457500000,121758000000000000000000,1283243946608299016009602765,245475000000000000000000,243417000000000000000000,0,0
2025-02-21,10051493131129137720000,121947000000000000000000,1281425723583253116590298415,246194000000000000000000,244325000000000000000000,0,0
