block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10034955990989583580000,121758000000000000000000,1259707040235304473569176381,10361000000000000000000,8303000000000000000000,0,0
2024-12-26,10035986575424450510000,121758000000000000000000,1260938475227503542700634806,22692000000000000000000,20634000000000000000000,0,0
2024-12-27,9675963290030521669307,140881000000000000000000,1073472396785887797631501027,25383000000000000000000,42448000000000000000000,0,0
2024-12-28,9873094861972909449524,131330000000000000000000,1167646735165190097664389099,38235000000000000000000,45749000000000000000000,0,0
2024-12-29,10035424133964200040000,121929000000000000000000,1262021195202352726339299089,50763000000000000000000,48876000000000000000000,0,0
2024-12-30,10038500998860765050000,121758000000000000000000,1263928417204795696196608439,52752000000000000000000,50694000000000000000000,0,0
2024-12-31,10027708419041293660000,122418000000000000000000,1257793223223917091738405673,57282000000000000000000,55884000000000000000000,0,0
2025-01-01,10039014838112166500000,121761000000000000000000,1264574768276968807448749423,59502000000000000000000,57447000000000000000000,0,0
2025-01-02,10029284240830902650000,122339000000000000000000,1258881454407021884169121723,60274000000000000000000,58797000000000000000000,0,0
2025-01-03,10039342925981788610000,121758000000000000000000,1264936397515831644178890405,62809000000000000000000,60751000000000000000000,0,0
2025-01-04,10039411169772077630000,121758000000000000000000,1265018190141353339322579655,63624000000000000000000,61566000000000000000000,0,0
2025-01-05,10038737109787214020000,121810000000000000000000,1264754285885792170316291155,66172000000000000000000,64166000000000000000000,0,0
2025-01-06,10039668817628389090000,121767000000000000000000,1265420909241298219059622255,68536000000000000000000,66487000000000000000000,0,0
2025-01-07,10039850830560096310000,121758000000000000000000,1265544744923504146547161105,68874000000000000000000,66816000000000000000000,0,0
2025-01-08,9982574297067465344792,125245000000000000000000,1231087447174268369155922123,71642000000000000000000,73071000000000000000000,0,0
2025-01-09,10007230247602407190000,123741000000000000000000,1246310706679602104229283870,74305000000000000000000,74230000000000000000000,0,0
2025-01-10,10031359486080935420000,122298000000000000000000,1260961838304341454106728838,76958000000000000000000,75440000000000000000000,0,0
2025-01-11,10040468084929364720000,121768000000000000000000,1266387203936215223931109588,78283000000000000000000,76235000000000000000000,0,0
2025-01-12,10040796941638984050000,121758000000000000000000,1266676224720081466684871338,80168000000000000000000,78110000000000000000000,0,0
2025-01-13,10039966718299614990000,121815000000000000000000,1266278848347163748648074638,81883000000000000000000,79882000000000000000000,0,0
2025-01-14,10041068529426111730000,121758000000000000000000,1267001419613309745636285288,83409000000000000000000,81351000000000000000000,0,0
2025-01-15,10008875657823460750000,123703000000000000000000,1247954779587606753588060960,86950000000000000000000,86837000000000000000000,0,0
2025-01-16,9962742513275801104409,126538000000000000000000,1220231296008551977790577978,91421000000000000000000,94143000000000000000000,0,0
2025-01-17,10042369953454355420000,121758000000000000000000,1268554441209229650405661820,98934000000000000000000,96876000000000000000000,0,0
2025-01-18,9834011692331116344719,133730000000000000000000,1150395996192053300897558227,101584000000000000000000,111498000000000000000000,0,0
2025-01-19,9408440995756809321449,152031000000000000000000,975364731298379739832614331,105728000000000000000000,133943000000000000000000,0,0
2025-01-20,9381101465775883546963,153013000000000000000000,966301946485356712204866948,106972000000000000000000,136169000000000000000000,0,0
2025-01-21,9327343958180597453105,154885000000000000000000,949021768628835348966023777,108509000000000000000000,139578000000000000000000,0,0
2025-01-22,9288517180185069648204,156214000000000000000000,937094106357027359171576256,112608000000000000000000,145006000000000000000000,0,0
2025-01-23,10046532564412423630000,121758000000000000000000,1273445757899176862005565849,148525000000000000000000,146467000000000000000000,0,0
2025-01-24,10039292771484166810000,122192000000000000000000,1269326722089525567111133649,150696000000000000000000,149072000000000000000000,0,0
2025-01-25,10032182121012703990000,122620000000000000000000,1265212539204314019343983849,152288000000000000000000,151092000000000000000000,0,0
2025-01-26,10046968686523585640000,121758000000000000000000,1273966591462018511225025199,153715000000000000000000,151657000000000000000000,0,0
2025-01-27,10032058989789144860000,122638000000000000000000,1265250658755645741366440399,154459000000000000000000,153281000000000000000000,0,0
2025-01-28,10045062270011923780000,121885000000000000000000,1273025271957714642561519899,156985000000000000000000,155054000000000000000000,0,0
2025-01-29,10047230323005873380000,121761000000000000000000,1274310669815993437583499749,157442000000000000000000,155387000000000000000000,0,0
2025-01-30,10044333578934440570000,121952000000000000000000,1272857407120436958490964160,161989000000000000000000,160125000000000000000000,0,0
2025-01-31,9855723350652979791704,132943000000000000000000,1164535627419346559908662171,167208000000000000000000,176335000000000000000000,0,0
2025-02-01,9757877888396640750570,137895000000000000000000,1116337215728812063869587364,168494000000000000000000,182573000000000000000000,0,0
2025-02-02,9774706867325700994601,137097000000000000000000,1124429390287222397158627043,171955000000000000000000,185236000000000000000000,0,0
2025-02-03,9891665848868217148745,131062000000000000000000,1184195845662958597781777356,179208000000000000000000,186454000000000000000000,0,0
2025-02-04,10044393005464465040000,122099000000000000000000,1274449936122508434240295755,192743000000000000000000,191026000000000000000000,0,0
2025-02-05,9962188201890383267893,127099000000000000000000,1224923010107653715789941032,195135000000000000000000,198418000000000000000000,0,0
2025-02-06,9928083318820548857760,129110000000000000000000,1205299080324313957548952067,197915000000000000000000,203209000000000000000000,0,0
