block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2025-03-05,9971252266355459488438,9903000000000000000000,96278862632484469431602855,0,138000000000000000000,32688000000000000000000,0
2025-03-06,9971253340687284124032,9903000000000000000000,96278962345544736790740625,1000000000000000000,139000000000000000000,32688000000000000000000,0
2025-03-07,9971307054554929499875,9903000000000000000000,96283949310819626138445366,51000000000000000000,189000000000000000000,32688000000000000000000,0
2025-03-08,9971319944903007899909,9903000000000000000000,96285145945004122863037867,63000000000000000000,201000000000000000000,32688000000000000000000,0
2025-03-09,9972545770438214358402,9903000000000000000000,96399731550899960682445826,1204000000000000000000,1342000000000000000000,32688000000000000000000,0
2025-03-10,9972730018044759836802,9903000000000000000000,96416900001265458162536106,1376000000000000000000,1514000000000000000000,32688000000000000000000,0
2025-03-11,9973332763760563222221,9903000000000000000000,96473222749839204248747943,1939000000000000000000,2077000000000000000000,32688000000000000000000,0
2025-03-12,1498964634218883337017,24039000000000000000000,13028204098926155983933110,1939000000000000000000,16213000000000000000000,45109000000000000000000,0
2025-03-13,2147999829004961423000,22324000000000000000000,16156488906983122146365732,4938000000000000000000,17497000000000000000000,45109000000000000000000,0
2025-03-14,2148131041782366216364,22324000000000000000000,16157242143189292372912241,4973000000000000000000,17532000000000000000000,45109000000000000000000,0
2025-03-15,2148848106466250621051,22324000000000000000000,16161366459872516048745335,5163000000000000000000,17722000000000000000000,45109000000000000000000,0
2025-03-16,2149258187024980266125,22324000000000000000000,16163722724226445797364841,5272000000000000000000,17831000000000000000000,45109000000000000000000,0
2025-03-17,2151561157263477149521,22324000000000000000000,16177037579416447895624985,5871000000000000000000,18430000000000000000000,45109000000000000000000,0
2025-03-18,2189402761320715489277,22325000000000000000000,16415206497362221442892601,12876000000000000000000,25436000000000000000000,45109000000000000000000,0
2025-03-19,2230884155173213192839,22324000000000000000000,16675607799432501647569981,20174000000000000000000,32733000000000000000000,45109000000000000000000,0
2025-03-20,2231148483734781949362,22324000000000000000000,16677130428709324068811620,20242000000000000000000,32801000000000000000000,45109000000000000000000,0
2025-03-21,2234281545741376439795,22324000000000000000000,16695341857388696683936573,21023000000000000000000,33582000000000000000000,45109000000000000000000,0
2025-03-22,2241596725505932015850,22324000000000000000000,16738406047926578360294491,22762000000000000000000,35321000000000000000000,45109000000000000000000,0
